gene_id	gene_name
1	0610006L08Rik
2	0610009B22Rik
3	0610009E02Rik
4	0610009L18Rik
5	0610010F05Rik
6	0610010K14Rik
7	0610012G03Rik
8	0610025J13Rik
9	0610030E20Rik
10	0610031O16Rik
11	0610033M10Rik
12	0610038B21Rik
13	0610039K10Rik
14	0610040B10Rik
15	0610040F04Rik
16	0610040J01Rik
17	0610043K17Rik
18	1010001B22Rik
19	1010001N08Rik
20	1110002E22Rik
21	1110002J07Rik
22	1110002L01Rik
23	1110002O04Rik
24	1110003F10Rik
25	1110004F10Rik
26	1110006O24Rik
27	1110008P14Rik
28	1110012L19Rik
29	1110015O18Rik
30	1110017D15Rik
31	1110018N20Rik
32	1110019D14Rik
33	1110020A21Rik
34	1110025M09Rik
35	1110028F11Rik
36	1110028F18Rik
37	1110032A03Rik
38	1110032F04Rik
39	1110035H17Rik
40	1110038B12Rik
41	1110038F14Rik
42	1110046J04Rik
43	1110051M20Rik
44	1110057P08Rik
45	1110059E24Rik
46	1110059G10Rik
47	1110060G06Rik
48	1110065P20Rik
49	1190005I06Rik
50	1190007I07Rik
51	1300002E11Rik
52	1300017J02Rik
53	1500002C15Rik
54	1500002F19Rik
55	1500004A13Rik
56	1500005C15Rik
57	1500009C09Rik
58	1500009L16Rik
59	1500011B03Rik
60	1500012K07Rik
61	1500015A07Rik
62	1500015L24Rik
63	1500026H17Rik
64	1500035N22Rik
65	1520401A03Rik
66	1600002K03Rik
67	1600010M07Rik
68	1600012H06Rik
69	1600012P17Rik
70	1600014C10Rik
71	1600014C23Rik
72	1600017P15Rik
73	1600019K03Rik
74	1600020E01Rik
75	1600023N17Rik
76	1600029O15Rik
77	1700001C02Rik
78	1700001C19Rik
79	1700001D01Rik
80	1700001F09Rik
81	1700001G01Rik
82	1700001G11Rik
83	1700001G17Rik
84	1700001J03Rik
85	1700001J04Rik
86	1700001J11Rik
87	1700001K19Rik
88	1700001L05Rik
89	1700001L19Rik
90	1700001O22Rik
91	1700001P01Rik
92	1700003C15Rik
93	1700003D09Rik
94	1700003E16Rik
95	1700003F12Rik
96	1700003G18Rik
97	1700003H04Rik
98	1700003I16Rik
99	1700003L19Rik
100	1700003M07Rik
101	1700003N22Rik
102	1700003P14Rik
103	1700006A11Rik
104	1700006H21Rik
105	1700006J14Rik
106	1700007E05Rik
107	1700007F19Rik
108	1700007J10Rik
109	1700007K13Rik
110	1700007L15Rik
111	1700007P06Rik
112	1700008A23Rik
113	1700008B11Rik
114	1700008H02Rik
115	1700008J07Rik
116	1700008K24Rik
117	1700008O03Rik
118	1700009C05Rik
119	1700010B13Rik
120	1700010H22Rik
121	1700010I02Rik
122	1700010I14Rik
123	1700010J16Rik
124	1700010L04Rik
125	1700011B04Rik
126	1700011D18Rik
127	1700012A03Rik
128	1700012B07Rik
129	1700012B09Rik
130	1700012C14Rik
131	1700012D16Rik
132	1700012E03Rik
133	1700012I11Rik
134	1700012J15Rik
135	1700013A02Rik
136	1700013D24Rik
137	1700013F07Rik
138	1700013G24Rik
139	1700013H16Rik
140	1700013M08Rik
141	1700014D04Rik
142	1700015F17Rik
143	1700015G11Rik
144	1700015O11Rik
145	1700016A09Rik
146	1700016B15Rik
147	1700016C15Rik
148	1700016D06Rik
149	1700016F12Rik
150	1700016G22Rik
151	1700016H13Rik
152	1700016K19Rik
153	1700016P03Rik
154	1700017B05Rik
155	1700017G19Rik
156	1700017M07Rik
157	1700017N19Rik
158	1700018A04Rik
159	1700018A23Rik
160	1700018L02Rik
161	1700018M17Rik
162	1700019A02Rik
163	1700019D03Rik
164	1700019G24Rik
165	1700019N19Rik
166	1700020D05Rik
167	1700020G17Rik
168	1700020L24Rik
169	1700020M21Rik
170	1700020N01Rik
171	1700020N18Rik
172	1700021A07Rik
173	1700021F02Rik
174	1700021F05Rik
175	1700021F07Rik
176	1700021N21Rik
177	1700021P04Rik
178	1700022A22Rik
179	1700022E09Rik
180	1700022I11Rik
181	1700022N22Rik
182	1700023F02Rik
183	1700023G09Rik
184	1700023H06Rik
185	1700024B05Rik
186	1700024G13Rik
187	1700024J04Rik
188	1700024P04Rik
189	1700025A08Rik
190	1700025B11Rik
191	1700025C18Rik
192	1700025D23Rik
193	1700025G04Rik
194	1700025J12Rik
195	1700025K24Rik
196	1700025M24Rik
197	1700025N21Rik
198	1700025N23Rik
199	1700025O08Rik
200	1700026D11Rik
201	1700026F02Rik
202	1700026J12Rik
203	1700026J14Rik
204	1700027A07Rik
205	1700027A15Rik
206	1700027H10Rik
207	1700028B04Rik
208	1700028D13Rik
209	1700028E10Rik
210	1700028I16Rik
211	1700028J19Rik
212	1700028K03Rik
213	1700028M03Rik
214	1700028N14Rik
215	1700028P14Rik
216	1700028P15Rik
217	1700029B22Rik
