gene_id	gene_name
1	0610009B22Rik
2	0610009E02Rik
3	0610009L18Rik
4	0610010F05Rik
5	0610010K14Rik
6	0610012D04Rik
7	0610012G03Rik
8	0610025J13Rik
9	0610030E20Rik
10	0610038B21Rik
11	0610040B10Rik
12	0610040F04Rik
13	0610040J01Rik
14	1010001B22Rik
15	1110002L01Rik
16	1110002O04Rik
17	1110004F10Rik
18	1110006O24Rik
19	1110008P14Rik
20	1110012L19Rik
21	1110015O18Rik
22	1110017D15Rik
23	1110018N20Rik
24	1110019D14Rik
25	1110020A21Rik
26	1110025M09Rik
27	1110032A03Rik
28	1110032F04Rik
29	1110035H17Rik
30	1110038B12Rik
31	1110038F14Rik
32	1110046J04Rik
33	1110051M20Rik
34	1110059E24Rik
35	1110059G10Rik
36	1110060G06Rik
37	1110065P20Rik
38	1190005I06Rik
39	1190007I07Rik
40	1300002E11Rik
41	1300017J02Rik
42	1500002C15Rik
43	1500002F19Rik
44	1500004A13Rik
45	1500009C09Rik
46	1500009L16Rik
47	1500011B03Rik
48	1500012K07Rik
49	1500015A07Rik
50	1500015L24Rik
51	1500026H17Rik
52	1500035N22Rik
53	1520401A03Rik
54	1600002K03Rik
55	1600010M07Rik
56	1600012H06Rik
57	1600014C10Rik
58	1600014C23Rik
59	1600017P15Rik
60	1600020E01Rik
61	1600023N17Rik
62	1700001C02Rik
63	1700001C19Rik
64	1700001G11Rik
65	1700001J03Rik
66	1700001J11Rik
67	1700001K19Rik
68	1700001L19Rik
69	1700001O22Rik
70	1700003E16Rik
71	1700003M07Rik
72	1700007K13Rik
73	1700007L15Rik
74	1700008A23Rik
75	1700008J07Rik
76	1700008O03Rik
77	1700010B13Rik
78	1700010H22Rik
79	1700010I14Rik
80	1700011D18Rik
81	1700012B09Rik
82	1700012C14Rik
83	1700012P22Rik
84	1700013D24Rik
85	1700013F07Rik
86	1700013H16Rik
87	1700014D04Rik
88	1700015F17Rik
89	1700015G11Rik
90	1700016K19Rik
91	1700017B05Rik
92	1700017N19Rik
93	1700018B08Rik
94	1700018L02Rik
95	1700019D03Rik
96	1700019G24Rik
97	1700020D05Rik
98	1700020M21Rik
99	1700021F05Rik
100	1700021N21Rik
101	1700022N22Rik
102	1700023H06Rik
103	1700024B05Rik
104	1700024B18Rik
105	1700024G13Rik
106	1700025G04Rik
107	1700026J12Rik
108	1700027A07Rik
109	1700028B04Rik
110	1700028E10Rik
111	1700028J19Rik
112	1700028K03Rik
113	1700028P14Rik
114	1700029E06Rik
115	1700029I15Rik
116	1700029J07Rik
117	1700030C10Rik
118	1700030J22Rik
119	1700030K09Rik
120	1700030N03Rik
121	1700034H15Rik
122	1700034I23Rik
123	1700034P13Rik
124	1700036A12Rik
125	1700037C18Rik
126	1700037H04Rik
127	1700039I01Rik
128	1700040D17Rik
129	1700040K01Rik
130	1700040L08Rik
131	1700041G16Rik
132	1700042O10Rik
133	1700047F07Rik
134	1700047K16Rik
