cell_type	overdispersion	add_count	gene	seed
Fibroblast	0.25	0	Rnf13	1
Fibroblast	0.25	0	Rnf13	2
Fibroblast	0.25	0	Rnf13	3
Fibroblast	0.25	0	Rnf13	4
Fibroblast	0.25	0	Rnf13	5
Granule	0.25	0	Rnf13	6
Granule	0.25	0	Rnf13	7
Granule	0.25	0	Rnf13	8
Granule	0.25	0	Rnf13	9
Granule	0.25	0	Rnf13	10
MLI2	0.25	0	Rnf13	11
MLI2	0.25	0	Rnf13	12
MLI2	0.25	0	Rnf13	13
MLI2	0.25	0	Rnf13	14
MLI2	0.25	0	Rnf13	15
Purkinje	0.25	0	Rnf13	16
Purkinje	0.25	0	Rnf13	17
Purkinje	0.25	0	Rnf13	18
Purkinje	0.25	0	Rnf13	19
Purkinje	0.25	0	Rnf13	20
Bergmann	0.25	0	Rnf13	21
Bergmann	0.25	0	Rnf13	22
Bergmann	0.25	0	Rnf13	23
Bergmann	0.25	0	Rnf13	24
Bergmann	0.25	0	Rnf13	25
Oligodendrocytes	0.25	0	Rnf13	26
Oligodendrocytes	0.25	0	Rnf13	27
Oligodendrocytes	0.25	0	Rnf13	28
Oligodendrocytes	0.25	0	Rnf13	29
Oligodendrocytes	0.25	0	Rnf13	30
Fibroblast	0.5	0	Rnf13	31
Fibroblast	0.5	0	Rnf13	32
Fibroblast	0.5	0	Rnf13	33
Fibroblast	0.5	0	Rnf13	34
Fibroblast	0.5	0	Rnf13	35
Granule	0.5	0	Rnf13	36
Granule	0.5	0	Rnf13	37
Granule	0.5	0	Rnf13	38
Granule	0.5	0	Rnf13	39
Granule	0.5	0	Rnf13	40
MLI2	0.5	0	Rnf13	41
MLI2	0.5	0	Rnf13	42
MLI2	0.5	0	Rnf13	43
MLI2	0.5	0	Rnf13	44
MLI2	0.5	0	Rnf13	45
Purkinje	0.5	0	Rnf13	46
Purkinje	0.5	0	Rnf13	47
Purkinje	0.5	0	Rnf13	48
Purkinje	0.5	0	Rnf13	49
Purkinje	0.5	0	Rnf13	50
Bergmann	0.5	0	Rnf13	51
Bergmann	0.5	0	Rnf13	52
Bergmann	0.5	0	Rnf13	53
Bergmann	0.5	0	Rnf13	54
Bergmann	0.5	0	Rnf13	55
Oligodendrocytes	0.5	0	Rnf13	56
Oligodendrocytes	0.5	0	Rnf13	57
Oligodendrocytes	0.5	0	Rnf13	58
Oligodendrocytes	0.5	0	Rnf13	59
Oligodendrocytes	0.5	0	Rnf13	60
Fibroblast	0.75	0	Rnf13	61
Fibroblast	0.75	0	Rnf13	62
Fibroblast	0.75	0	Rnf13	63
Fibroblast	0.75	0	Rnf13	64
Fibroblast	0.75	0	Rnf13	65
Granule	0.75	0	Rnf13	66
Granule	0.75	0	Rnf13	67
Granule	0.75	0	Rnf13	68
Granule	0.75	0	Rnf13	69
Granule	0.75	0	Rnf13	70
MLI2	0.75	0	Rnf13	71
MLI2	0.75	0	Rnf13	72
MLI2	0.75	0	Rnf13	73
MLI2	0.75	0	Rnf13	74
MLI2	0.75	0	Rnf13	75
Purkinje	0.75	0	Rnf13	76
Purkinje	0.75	0	Rnf13	77
Purkinje	0.75	0	Rnf13	78
Purkinje	0.75	0	Rnf13	79
Purkinje	0.75	0	Rnf13	80
Bergmann	0.75	0	Rnf13	81
Bergmann	0.75	0	Rnf13	82
Bergmann	0.75	0	Rnf13	83
Bergmann	0.75	0	Rnf13	84
Bergmann	0.75	0	Rnf13	85
Oligodendrocytes	0.75	0	Rnf13	86
Oligodendrocytes	0.75	0	Rnf13	87
Oligodendrocytes	0.75	0	Rnf13	88
Oligodendrocytes	0.75	0	Rnf13	89
Oligodendrocytes	0.75	0	Rnf13	90
Fibroblast	0.25	1	Rnf13	91
Fibroblast	0.25	1	Rnf13	92
Fibroblast	0.25	1	Rnf13	93
Fibroblast	0.25	1	Rnf13	94
Fibroblast	0.25	1	Rnf13	95
Granule	0.25	1	Rnf13	96
Granule	0.25	1	Rnf13	97
Granule	0.25	1	Rnf13	98
Granule	0.25	1	Rnf13	99
Granule	0.25	1	Rnf13	100
MLI2	0.25	1	Rnf13	101
MLI2	0.25	1	Rnf13	102
MLI2	0.25	1	Rnf13	103
MLI2	0.25	1	Rnf13	104
MLI2	0.25	1	Rnf13	105
Purkinje	0.25	1	Rnf13	106
Purkinje	0.25	1	Rnf13	107
Purkinje	0.25	1	Rnf13	108
Purkinje	0.25	1	Rnf13	109
Purkinje	0.25	1	Rnf13	110
Bergmann	0.25	1	Rnf13	111
Bergmann	0.25	1	Rnf13	112
Bergmann	0.25	1	Rnf13	113
Bergmann	0.25	1	Rnf13	114
Bergmann	0.25	1	Rnf13	115
Oligodendrocytes	0.25	1	Rnf13	116
Oligodendrocytes	0.25	1	Rnf13	117
Oligodendrocytes	0.25	1	Rnf13	118
Oligodendrocytes	0.25	1	Rnf13	119
Oligodendrocytes	0.25	1	Rnf13	120
Fibroblast	0.5	1	Rnf13	121
Fibroblast	0.5	1	Rnf13	122
Fibroblast	0.5	1	Rnf13	123
Fibroblast	0.5	1	Rnf13	124
Fibroblast	0.5	1	Rnf13	125
Granule	0.5	1	Rnf13	126
Granule	0.5	1	Rnf13	127
Granule	0.5	1	Rnf13	128
Granule	0.5	1	Rnf13	129
Granule	0.5	1	Rnf13	130
MLI2	0.5	1	Rnf13	131
MLI2	0.5	1	Rnf13	132
MLI2	0.5	1	Rnf13	133
MLI2	0.5	1	Rnf13	134
MLI2	0.5	1	Rnf13	135
Purkinje	0.5	1	Rnf13	136
Purkinje	0.5	1	Rnf13	137
Purkinje	0.5	1	Rnf13	138
Purkinje	0.5	1	Rnf13	139
Purkinje	0.5	1	Rnf13	140
Bergmann	0.5	1	Rnf13	141
Bergmann	0.5	1	Rnf13	142
Bergmann	0.5	1	Rnf13	143
Bergmann	0.5	1	Rnf13	144
Bergmann	0.5	1	Rnf13	145
Oligodendrocytes	0.5	1	Rnf13	146
Oligodendrocytes	0.5	1	Rnf13	147
Oligodendrocytes	0.5	1	Rnf13	148
Oligodendrocytes	0.5	1	Rnf13	149
Oligodendrocytes	0.5	1	Rnf13	150
Fibroblast	0.75	1	Rnf13	151
Fibroblast	0.75	1	Rnf13	152
Fibroblast	0.75	1	Rnf13	153
Fibroblast	0.75	1	Rnf13	154
Fibroblast	0.75	1	Rnf13	155
Granule	0.75	1	Rnf13	156
Granule	0.75	1	Rnf13	157
Granule	0.75	1	Rnf13	158
Granule	0.75	1	Rnf13	159
Granule	0.75	1	Rnf13	160
MLI2	0.75	1	Rnf13	161
MLI2	0.75	1	Rnf13	162
MLI2	0.75	1	Rnf13	163
MLI2	0.75	1	Rnf13	164
MLI2	0.75	1	Rnf13	165
Purkinje	0.75	1	Rnf13	166
Purkinje	0.75	1	Rnf13	167
Purkinje	0.75	1	Rnf13	168
Purkinje	0.75	1	Rnf13	169
Purkinje	0.75	1	Rnf13	170
Bergmann	0.75	1	Rnf13	171
Bergmann	0.75	1	Rnf13	172
Bergmann	0.75	1	Rnf13	173
Bergmann	0.75	1	Rnf13	174
Bergmann	0.75	1	Rnf13	175
Oligodendrocytes	0.75	1	Rnf13	176
Oligodendrocytes	0.75	1	Rnf13	177
Oligodendrocytes	0.75	1	Rnf13	178
Oligodendrocytes	0.75	1	Rnf13	179
Oligodendrocytes	0.75	1	Rnf13	180
Fibroblast	0.25	5	Rnf13	181
Fibroblast	0.25	5	Rnf13	182
Fibroblast	0.25	5	Rnf13	183
Fibroblast	0.25	5	Rnf13	184
Fibroblast	0.25	5	Rnf13	185
Granule	0.25	5	Rnf13	186
Granule	0.25	5	Rnf13	187
Granule	0.25	5	Rnf13	188
Granule	0.25	5	Rnf13	189
Granule	0.25	5	Rnf13	190
MLI2	0.25	5	Rnf13	191
MLI2	0.25	5	Rnf13	192
MLI2	0.25	5	Rnf13	193
MLI2	0.25	5	Rnf13	194
MLI2	0.25	5	Rnf13	195
Purkinje	0.25	5	Rnf13	196
Purkinje	0.25	5	Rnf13	197
Purkinje	0.25	5	Rnf13	198
Purkinje	0.25	5	Rnf13	199
Purkinje	0.25	5	Rnf13	200
Bergmann	0.25	5	Rnf13	201
Bergmann	0.25	5	Rnf13	202
Bergmann	0.25	5	Rnf13	203
Bergmann	0.25	5	Rnf13	204
Bergmann	0.25	5	Rnf13	205
Oligodendrocytes	0.25	5	Rnf13	206
Oligodendrocytes	0.25	5	Rnf13	207
Oligodendrocytes	0.25	5	Rnf13	208
Oligodendrocytes	0.25	5	Rnf13	209
Oligodendrocytes	0.25	5	Rnf13	210
Fibroblast	0.5	5	Rnf13	211
Fibroblast	0.5	5	Rnf13	212
Fibroblast	0.5	5	Rnf13	213
Fibroblast	0.5	5	Rnf13	214
Fibroblast	0.5	5	Rnf13	215
Granule	0.5	5	Rnf13	216
Granule	0.5	5	Rnf13	217
Granule	0.5	5	Rnf13	218
Granule	0.5	5	Rnf13	219
Granule	0.5	5	Rnf13	220
MLI2	0.5	5	Rnf13	221
MLI2	0.5	5	Rnf13	222
MLI2	0.5	5	Rnf13	223
MLI2	0.5	5	Rnf13	224
MLI2	0.5	5	Rnf13	225
Purkinje	0.5	5	Rnf13	226
Purkinje	0.5	5	Rnf13	227
Purkinje	0.5	5	Rnf13	228
Purkinje	0.5	5	Rnf13	229
Purkinje	0.5	5	Rnf13	230
Bergmann	0.5	5	Rnf13	231
Bergmann	0.5	5	Rnf13	232
Bergmann	0.5	5	Rnf13	233
Bergmann	0.5	5	Rnf13	234
Bergmann	0.5	5	Rnf13	235
Oligodendrocytes	0.5	5	Rnf13	236
Oligodendrocytes	0.5	5	Rnf13	237
Oligodendrocytes	0.5	5	Rnf13	238
Oligodendrocytes	0.5	5	Rnf13	239
Oligodendrocytes	0.5	5	Rnf13	240
Fibroblast	0.75	5	Rnf13	241
Fibroblast	0.75	5	Rnf13	242
Fibroblast	0.75	5	Rnf13	243
Fibroblast	0.75	5	Rnf13	244
Fibroblast	0.75	5	Rnf13	245
Granule	0.75	5	Rnf13	246
Granule	0.75	5	Rnf13	247
Granule	0.75	5	Rnf13	248
Granule	0.75	5	Rnf13	249
Granule	0.75	5	Rnf13	250
MLI2	0.75	5	Rnf13	251
MLI2	0.75	5	Rnf13	252
MLI2	0.75	5	Rnf13	253
MLI2	0.75	5	Rnf13	254
MLI2	0.75	5	Rnf13	255
Purkinje	0.75	5	Rnf13	256
Purkinje	0.75	5	Rnf13	257
Purkinje	0.75	5	Rnf13	258
Purkinje	0.75	5	Rnf13	259
Purkinje	0.75	5	Rnf13	260
Bergmann	0.75	5	Rnf13	261
Bergmann	0.75	5	Rnf13	262
Bergmann	0.75	5	Rnf13	263
Bergmann	0.75	5	Rnf13	264
Bergmann	0.75	5	Rnf13	265
Oligodendrocytes	0.75	5	Rnf13	266
Oligodendrocytes	0.75	5	Rnf13	267
Oligodendrocytes	0.75	5	Rnf13	268
Oligodendrocytes	0.75	5	Rnf13	269
Oligodendrocytes	0.75	5	Rnf13	270
Fibroblast	0.25	25	Rnf13	271
Fibroblast	0.25	25	Rnf13	272
Fibroblast	0.25	25	Rnf13	273
Fibroblast	0.25	25	Rnf13	274
Fibroblast	0.25	25	Rnf13	275
Granule	0.25	25	Rnf13	276
Granule	0.25	25	Rnf13	277
Granule	0.25	25	Rnf13	278
Granule	0.25	25	Rnf13	279
Granule	0.25	25	Rnf13	280
MLI2	0.25	25	Rnf13	281
MLI2	0.25	25	Rnf13	282
MLI2	0.25	25	Rnf13	283
MLI2	0.25	25	Rnf13	284
MLI2	0.25	25	Rnf13	285
Purkinje	0.25	25	Rnf13	286
Purkinje	0.25	25	Rnf13	287
Purkinje	0.25	25	Rnf13	288
Purkinje	0.25	25	Rnf13	289
Purkinje	0.25	25	Rnf13	290
Bergmann	0.25	25	Rnf13	291
Bergmann	0.25	25	Rnf13	292
Bergmann	0.25	25	Rnf13	293
Bergmann	0.25	25	Rnf13	294
Bergmann	0.25	25	Rnf13	295
Oligodendrocytes	0.25	25	Rnf13	296
Oligodendrocytes	0.25	25	Rnf13	297
Oligodendrocytes	0.25	25	Rnf13	298
Oligodendrocytes	0.25	25	Rnf13	299
Oligodendrocytes	0.25	25	Rnf13	300
Fibroblast	0.5	25	Rnf13	301
Fibroblast	0.5	25	Rnf13	302
Fibroblast	0.5	25	Rnf13	303
Fibroblast	0.5	25	Rnf13	304
Fibroblast	0.5	25	Rnf13	305
Granule	0.5	25	Rnf13	306
Granule	0.5	25	Rnf13	307
Granule	0.5	25	Rnf13	308
Granule	0.5	25	Rnf13	309
Granule	0.5	25	Rnf13	310
MLI2	0.5	25	Rnf13	311
MLI2	0.5	25	Rnf13	312
MLI2	0.5	25	Rnf13	313
MLI2	0.5	25	Rnf13	314
MLI2	0.5	25	Rnf13	315
Purkinje	0.5	25	Rnf13	316
Purkinje	0.5	25	Rnf13	317
Purkinje	0.5	25	Rnf13	318
Purkinje	0.5	25	Rnf13	319
Purkinje	0.5	25	Rnf13	320
Bergmann	0.5	25	Rnf13	321
Bergmann	0.5	25	Rnf13	322
Bergmann	0.5	25	Rnf13	323
Bergmann	0.5	25	Rnf13	324
Bergmann	0.5	25	Rnf13	325
Oligodendrocytes	0.5	25	Rnf13	326
Oligodendrocytes	0.5	25	Rnf13	327
Oligodendrocytes	0.5	25	Rnf13	328
Oligodendrocytes	0.5	25	Rnf13	329
Oligodendrocytes	0.5	25	Rnf13	330
Fibroblast	0.75	25	Rnf13	331
Fibroblast	0.75	25	Rnf13	332
Fibroblast	0.75	25	Rnf13	333
Fibroblast	0.75	25	Rnf13	334
Fibroblast	0.75	25	Rnf13	335
Granule	0.75	25	Rnf13	336
Granule	0.75	25	Rnf13	337
Granule	0.75	25	Rnf13	338
Granule	0.75	25	Rnf13	339
Granule	0.75	25	Rnf13	340
MLI2	0.75	25	Rnf13	341
MLI2	0.75	25	Rnf13	342
MLI2	0.75	25	Rnf13	343
MLI2	0.75	25	Rnf13	344
MLI2	0.75	25	Rnf13	345
Purkinje	0.75	25	Rnf13	346
Purkinje	0.75	25	Rnf13	347
Purkinje	0.75	25	Rnf13	348
Purkinje	0.75	25	Rnf13	349
Purkinje	0.75	25	Rnf13	350
Bergmann	0.75	25	Rnf13	351
Bergmann	0.75	25	Rnf13	352
Bergmann	0.75	25	Rnf13	353
Bergmann	0.75	25	Rnf13	354
Bergmann	0.75	25	Rnf13	355
Oligodendrocytes	0.75	25	Rnf13	356
Oligodendrocytes	0.75	25	Rnf13	357
Oligodendrocytes	0.75	25	Rnf13	358
Oligodendrocytes	0.75	25	Rnf13	359
Oligodendrocytes	0.75	25	Rnf13	360
Fibroblast	0.25	2	Rnf13	361
Fibroblast	0.25	2	Rnf13	362
Fibroblast	0.25	2	Rnf13	363
Fibroblast	0.25	2	Rnf13	364
Fibroblast	0.25	2	Rnf13	365
Granule	0.25	2	Rnf13	366
Granule	0.25	2	Rnf13	367
Granule	0.25	2	Rnf13	368
Granule	0.25	2	Rnf13	369
Granule	0.25	2	Rnf13	370
MLI2	0.25	2	Rnf13	371
MLI2	0.25	2	Rnf13	372
MLI2	0.25	2	Rnf13	373
MLI2	0.25	2	Rnf13	374
MLI2	0.25	2	Rnf13	375
Purkinje	0.25	2	Rnf13	376
Purkinje	0.25	2	Rnf13	377
Purkinje	0.25	2	Rnf13	378
Purkinje	0.25	2	Rnf13	379
Purkinje	0.25	2	Rnf13	380
Bergmann	0.25	2	Rnf13	381
Bergmann	0.25	2	Rnf13	382
Bergmann	0.25	2	Rnf13	383
Bergmann	0.25	2	Rnf13	384
Bergmann	0.25	2	Rnf13	385
Oligodendrocytes	0.25	2	Rnf13	386
Oligodendrocytes	0.25	2	Rnf13	387
Oligodendrocytes	0.25	2	Rnf13	388
Oligodendrocytes	0.25	2	Rnf13	389
Oligodendrocytes	0.25	2	Rnf13	390
Fibroblast	0.5	2	Rnf13	391
Fibroblast	0.5	2	Rnf13	392
Fibroblast	0.5	2	Rnf13	393
Fibroblast	0.5	2	Rnf13	394
