"","tissue","sample","technology","gene","cell_type","Z_score","log_fc","se","p_val","bias","xchr"
"1","Hippocampus","Mouse 1","Slide-seq","Pla2g7","Astrocyte",14.3307986006627,-1.83593357654156,0.128111044450563,1.4049565373611e-46,"paternal",FALSE
"2","Hippocampus","Mouse 1","Slide-seq","Ttyh1","Astrocyte",12.5033832172464,-4.20002374802486,0.335910983055499,7.15405590526859e-36,"paternal",FALSE
"3","Hippocampus","Mouse 1","Slide-seq","Gapdh","Astrocyte",11.0775907855488,-3.95670485772293,0.357180991275162,1.61150550479931e-28,"paternal",FALSE
"4","Hippocampus","Mouse 1","Slide-seq","Fau","Astrocyte",10.7594956296142,3.37562141869363,0.313734168858497,5.34619645206988e-27,"maternal",FALSE
"5","Hippocampus","Mouse 1","Slide-seq","Aldoc","Astrocyte",10.0467551164327,-0.323079413867991,0.0321575882087099,9.49422776451839e-24,"paternal",FALSE
"6","Hippocampus","Mouse 1","Slide-seq","Rpl37","Astrocyte",9.71026786511901,2.51112095874747,0.258604705207758,2.7261971895044e-22,"maternal",FALSE
"7","Hippocampus","Mouse 1","Slide-seq","Atp1a2","Astrocyte",9.70937745837228,-0.362944126949302,0.0373807824966511,2.75011632558867e-22,"paternal",FALSE
"8","Hippocampus","Mouse 1","Slide-seq","Rps18","Astrocyte",9.30498621811964,-1.62558561646537,0.174700486208122,1.34009713759029e-20,"paternal",FALSE
"9","Hippocampus","Mouse 1","Slide-seq","Ndrg2","Astrocyte",9.12528712283787,0.305830431033701,0.0335146091204405,7.15463529203578e-20,"maternal",FALSE
"10","Hippocampus","Mouse 1","Slide-seq","Rpl35a","Astrocyte",8.03188243552143,-4.04926091842369,0.504148429827062,9.59883302638881e-16,"paternal",FALSE
"11","Hippocampus","Mouse 1","Slide-seq","Rps19","Astrocyte",7.62053106859126,-2.2924346447403,0.300823475963347,2.52634148135394e-14,"paternal",FALSE
"12","Hippocampus","Mouse 1","Slide-seq","Cd81","Astrocyte",7.5711812730409,-0.569842694449143,0.0752647009626109,3.69845534071108e-14,"paternal",FALSE
"13","Hippocampus","Mouse 1","Slide-seq","Rpsa","Astrocyte",7.40167146324523,0.9720761510652,0.131331977634008,1.3448088582234e-13,"maternal",FALSE
"14","Hippocampus","Mouse 1","Slide-seq","Serinc1","Astrocyte",7.2890699030802,0.980360244665805,0.134497303181511,3.12102097034932e-13,"maternal",FALSE
"15","Hippocampus","Mouse 1","Slide-seq","Ndufs5","Astrocyte",7.27125022553354,-0.794957097769458,0.109328804966429,3.56175465857492e-13,"paternal",FALSE
"16","Hippocampus","Mouse 1","Slide-seq","2900052N01Rik","Astrocyte",7.19949854602356,-1.57732982327931,0.219088845312776,6.04344009169841e-13,"paternal",FALSE
"17","Hippocampus","Mouse 1","Slide-seq","Rpl9","Astrocyte",7.19078268529568,2.34354499408599,0.325909584067707,6.44209483981598e-13,"maternal",FALSE
"18","Hippocampus","Mouse 1","Slide-seq","Dbi","Astrocyte",7.0472852950673,0.504613442341176,0.071603946940303,1.82442018804994e-12,"maternal",FALSE
"19","Hippocampus","Mouse 1","Slide-seq","Rpl21","Astrocyte",6.90887081396789,-0.542285135850858,0.0784911384874216,4.88526572498368e-12,"paternal",FALSE
"20","Hippocampus","Mouse 1","Slide-seq","Rps9","Astrocyte",6.77086144761924,-0.859501486653338,0.126941230935327,1.2801782913881e-11,"paternal",FALSE
"21","Hippocampus","Mouse 1","Slide-seq","Saraf","Astrocyte",6.66724857027908,1.02870365475997,0.154292080746123,2.60643445736362e-11,"maternal",FALSE
"22","Hippocampus","Mouse 1","Slide-seq","Sdc4","Astrocyte",6.56328608627686,-0.66425674648103,0.101207952502622,5.26347238664915e-11,"paternal",FALSE
"23","Hippocampus","Mouse 1","Slide-seq","Pisd","Astrocyte",6.42073643970701,-1.09617237003327,0.17072377605384,1.35616651859512e-10,"paternal",FALSE
"24","Hippocampus","Mouse 1","Slide-seq","Pdhb","Astrocyte",6.40260032517882,-1.18744422823398,0.185462806973011,1.52752687918665e-10,"paternal",FALSE
"25","Hippocampus","Mouse 1","Slide-seq","Prnp","Astrocyte",6.36457724614187,0.592805454799375,0.0931413716690651,1.95828349156616e-10,"maternal",FALSE
"26","Hippocampus","Mouse 1","Slide-seq","Rpl23a","Astrocyte",6.26608303901928,1.87145842030516,0.298664797234808,3.7024294869686e-10,"maternal",FALSE
"27","Hippocampus","Mouse 1","Slide-seq","Rps15","Astrocyte",6.10639296882891,-1.51087087051084,0.247424441601339,1.0190791964947e-09,"paternal",FALSE
"28","Hippocampus","Mouse 1","Slide-seq","Ndufa12","Astrocyte",6.01605225754771,-1.06859441042913,0.177623857752977,1.78721897580867e-09,"paternal",FALSE
"29","Hippocampus","Mouse 1","Slide-seq","Pantr1","Astrocyte",5.82485322125942,-0.97013810135701,0.166551510313809,5.71628163547828e-09,"paternal",FALSE
"30","Hippocampus","Mouse 1","Slide-seq","Tubb2a","Astrocyte",5.79973837004596,0.494372240157644,0.0852404382085474,6.64184633162375e-09,"maternal",FALSE
"31","Hippocampus","Mouse 1","Slide-seq","Unc13d","Astrocyte",5.7439771342613,-3.37534496712561,0.587632034081851,9.24782813977796e-09,"paternal",FALSE
"32","Hippocampus","Mouse 1","Slide-seq","Cfl1","Astrocyte",5.65791922315284,1.24616574410122,0.220251596912479,1.5321921311054e-08,"maternal",FALSE
"33","Hippocampus","Mouse 1","Slide-seq","Marc2","Astrocyte",5.41668791379373,0.829462290594811,0.153130899139041,6.07131776577345e-08,"maternal",FALSE
"34","Hippocampus","Mouse 1","Slide-seq","Rps13","Astrocyte",5.40136941548348,-3.85764263834584,0.714197149205827,6.61340733661133e-08,"paternal",FALSE
"35","Hippocampus","Mouse 1","Slide-seq","Malat1","Astrocyte",5.30063478131098,0.146105291008159,0.0275637347291495,1.15400734704618e-07,"maternal",FALSE
"36","Hippocampus","Mouse 1","Slide-seq","Fam193a","Astrocyte",5.09310770959694,-1.600166856105,0.314182802984867,3.52241450152641e-07,"paternal",FALSE
"37","Hippocampus","Mouse 1","Slide-seq","Hopx","Astrocyte",5.01916714072427,0.898570988694996,0.179027907121127,5.18959827127162e-07,"maternal",FALSE
"38","Hippocampus","Mouse 1","Slide-seq","Rpl38","Astrocyte",4.97033522752055,0.805309021296947,0.162023079819241,6.68372409858305e-07,"maternal",FALSE
"39","Hippocampus","Mouse 1","Slide-seq","Psma7","Astrocyte",4.91691299805888,-1.29542948497908,0.263463983497469,8.79196012739288e-07,"paternal",FALSE
"40","Hippocampus","Mouse 1","Slide-seq","Kcnk1","Astrocyte",4.74770604194509,-0.828017815895579,0.174403766488531,2.05736759594512e-06,"paternal",FALSE
"41","Hippocampus","Mouse 1","Slide-seq","Rps20","Astrocyte",4.73285160407151,-0.808276640175575,0.170780051392324,2.21387347867386e-06,"paternal",FALSE
"42","Hippocampus","Mouse 1","Slide-seq","Retsat","Astrocyte",4.70874000647293,1.90902777628703,0.40542220926676,2.49252756985429e-06,"maternal",FALSE
"43","Hippocampus","Mouse 1","Slide-seq","Aldh1a1","Astrocyte",4.68542254217912,-0.596181229707759,0.127241721390294,2.79382944712274e-06,"paternal",FALSE
"44","Hippocampus","Mouse 1","Slide-seq","Rpl13","Astrocyte",4.57648205436089,-0.625275192136361,0.136627913036508,4.72860251331998e-06,"paternal",FALSE
"45","Hippocampus","Mouse 1","Slide-seq","Hnrnpc","Astrocyte",4.52362873650232,-2.70257920940918,0.597436121934891,6.07883165330496e-06,"paternal",FALSE
"46","Hippocampus","Mouse 1","Slide-seq","Rpl11","Astrocyte",4.49807114634703,-4.47123889010969,0.99403471946878,6.85727518384428e-06,"paternal",FALSE
"47","Hippocampus","Mouse 1","Slide-seq","Rpl6","Astrocyte",4.34791369135939,0.927557571242099,0.213333942917366,1.37438665410498e-05,"maternal",FALSE
"48","Hippocampus","Mouse 1","Slide-seq","Aqp4","Astrocyte",4.22458375911532,0.423887771879879,0.10033835190633,2.39382809046015e-05,"maternal",FALSE
"49","Hippocampus","Mouse 1","Slide-seq","Rab33b","Astrocyte",4.21376556507554,-1.11057381230026,0.26355851913189,2.51147972122333e-05,"paternal",FALSE
"50","Hippocampus","Mouse 1","Slide-seq","Rps15a","Astrocyte",4.15424195292626,-0.91705899832227,0.220752428171953,3.26367694408984e-05,"paternal",FALSE
"51","Hippocampus","Mouse 1","Slide-seq","Mfge8","Astrocyte",4.15383278695336,-0.451516084299251,0.10869866637805,3.26952135957137e-05,"paternal",FALSE
"52","Hippocampus","Mouse 1","Slide-seq","Mt3","Astrocyte",4.13797272378631,4.17186437937165,1.00819040091553,3.50388012926487e-05,"maternal",FALSE
"53","Hippocampus","Mouse 1","Slide-seq","Psap","Astrocyte",4.0378784332481,0.879705863368638,0.217863384921422,5.39367901194355e-05,"maternal",FALSE
"54","Hippocampus","Mouse 1","Slide-seq","Polr2l","Astrocyte",4.02489752614241,1.90610145591998,0.473577636086264,5.70001309046165e-05,"maternal",FALSE
"55","Hippocampus","Mouse 1","Slide-seq","Churc1","Astrocyte",3.98496087780671,-2.11758618885667,0.531394473820324,6.74912442633695e-05,"paternal",FALSE
