"","tissue","sample","technology","gene","totalUMI","totalSpots","chisq.p","qval","xchr"
"1","Hippocampus","Mouse 1","Slide-seq","Arhgef9",1857,1556,3.74122954838185e-12,1.09083564403534e-09,TRUE
"2","Hippocampus","Mouse 1","Slide-seq","Armcx3",646,600,9.38821329654616e-06,0.000798389305760446,TRUE
"3","Hippocampus","Mouse 1","Slide-seq","Atp1a2",8717,5701,0.000112598517188478,0.00675922275240246,FALSE
"4","Hippocampus","Mouse 1","Slide-seq","Atrx",2351,1893,3.26405569239796e-14,1.66548441704606e-11,TRUE
"5","Hippocampus","Mouse 1","Slide-seq","Bex2",1570,1391,2.35968295481115e-06,0.000240805645538478,TRUE
"6","Hippocampus","Mouse 1","Slide-seq","Chgb",7898,3923,2.43726261395238e-10,5.5271699945298e-08,FALSE
"7","Hippocampus","Mouse 1","Slide-seq","Cpe",22568,11861,4.16149670279253e-10,7.72146797309051e-08,FALSE
"8","Hippocampus","Mouse 1","Slide-seq","Crym",1241,940,3.61049844022077e-07,4.60564207280661e-05,FALSE
"9","Hippocampus","Mouse 1","Slide-seq","Fam193a",558,533,4.75420478540656e-08,6.46888797800986e-06,FALSE
"10","Hippocampus","Mouse 1","Slide-seq","Fgf13",954,869,0.00010999677228829,0.00675922275240246,TRUE
"11","Hippocampus","Mouse 1","Slide-seq","Frrs1l",2992,2321,8.36126749894639e-05,0.00579642040492299,FALSE
"12","Hippocampus","Mouse 1","Slide-seq","Gap43",2920,2282,5.07372061897549e-06,0.000470702899242226,FALSE
"13","Hippocampus","Mouse 1","Slide-seq","Gpm6b",2203,1963,7.9512305661833e-07,9.36822512590098e-05,TRUE
"14","Hippocampus","Mouse 1","Slide-seq","Gprasp1",2665,2177,2.95320323751014e-10,6.02748780775819e-08,TRUE
"15","Hippocampus","Mouse 1","Slide-seq","Ids",1002,919,3.52551321469718e-12,1.09083564403534e-09,TRUE
"16","Hippocampus","Mouse 1","Slide-seq","Maged1",1364,1235,2.0880140505497e-08,3.04402619797996e-06,TRUE
"17","Hippocampus","Mouse 1","Slide-seq","Magee1",1698,1444,2.68889898857871e-06,0.000261335373128055,TRUE
"18","Hippocampus","Mouse 1","Slide-seq","Mageh1",673,634,8.51997119782899e-05,0.00579642040492299,TRUE
"19","Hippocampus","Mouse 1","Slide-seq","Malat1",72124,12172,1.88480680368697e-05,0.00149289694712113,FALSE
"20","Hippocampus","Mouse 1","Slide-seq","Map1b",14912,7333,5.94464612613255e-06,0.000527522727975501,FALSE
"21","Hippocampus","Mouse 1","Slide-seq","Meg3",18494,5727,1.36787894422508e-06,0.000146938996061231,FALSE
"22","Hippocampus","Mouse 1","Slide-seq","Napa",1299,1184,0.000112472788682427,0.00675922275240246,FALSE
"23","Hippocampus","Mouse 1","Slide-seq","Nrip3",4213,3060,9.10382880192628e-15,9.29045729236577e-12,FALSE
