"","ID","Name","Species","Class","Family","Logo"
"","MA0004.1","Arnt","Mus musculus","Basic helix-loop-helix factors (bHLH)","PAS domain factors",""
"","MA0006.1","Ahr::Arnt","Mus musculus","Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)","PAS domain factors::PAS domain factors",""
"","MA0007.3","Ar","Mus musculus","Nuclear receptors with C4 zinc fingers","Steroid hormone receptors (NR3)",""
"","MA0018.2","CREB1","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Homo sapiens","Basic leucine zipper factors (bZIP)","CREB-related factors",""
"","MA0027.1","En1","Mus musculus","Homeo domain factors","NK-related factors",""
"","MA0035.1","Gata1","Mus musculus","Other C4 zinc finger-type factors","GATA-type zinc fingers",""
"","MA0035.2","Gata1","Mus musculus","Other C4 zinc finger-type factors","GATA-type zinc fingers",""
"","MA0035.3","Gata1","Mus musculus","Other C4 zinc finger-type factors","GATA-type zinc fingers",""
"","MA0047.2","Foxa2","Mus musculus","Fork head / winged helix factors","Forkhead box (FOX) factors",""
"","MA0062.2","Gabpa","Mus musculus","Tryptophan cluster factors","Ets-related factors",""
"","MA0092.1","Hand1::Tcf3","Mus musculus","Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)","Tal-related factors::E2A-related factors",""
"","MA0098.2","Ets1","Mus musculus","Tryptophan cluster factors","Ets-related factors",""
"","MA0099.1","JUN::FOS","Mus musculus","Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)","Fos-related factors::Jun-related factors",""
"","MA0099.2","FOS::JUN","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Homo sapiens","Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)","Fos-related factors::Jun-related factors",""
"","MA0102.1","Cebpa","Mus musculus                                                                                                                                                   Rattus norvegicus","Basic leucine zipper factors (bZIP)","C/EBP-related factors",""
"","MA0102.2","CEBPA","Mus musculus                                                                                                                                                   Rattus norvegicus","Basic leucine zipper factors (bZIP)","C/EBP-related factors",""
"","MA0112.1","ESR1","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Xenopus laevis                                                                                                                                                   Xenopus (Silurana) tropicalis                                                                                                                                                   Gallus gallus                                                                                                                                                   Homo sapiens                                                                                                                                                   Bos taurus                                                                                                                                                   Oryctolagus cuniculus","Nuclear receptors with C4 zinc fingers","Steroid hormone receptors (NR3)",""
"","MA0114.3","Hnf4a","Mus musculus","Nuclear receptors with C4 zinc fingers","RXR-related receptors (NR2)",""
"","MA0136.1","ELF5","Mus musculus","Tryptophan cluster factors","Ets-related factors",""
"","MA0141.1","Esrrb","Mus musculus","Nuclear receptors with C4 zinc fingers","Steroid hormone receptors (NR3)",""
"","MA0141.2","Esrrb","Mus musculus","Nuclear receptors with C4 zinc fingers","Steroid hormone receptors (NR3)",""
"","MA0151.1","Arid3a","Mus musculus","ARID domain factors","ARID-related factors",""
"","MA0153.1","HNF1B","Mus musculus                                                                                                                                                   Homo sapiens","Homeo domain factors","POU domain factors",""
"","MA0154.1","EBF1","Mus musculus","Rel homology region (RHR) factors","Early B-Cell Factor-related factors",""
"","MA0157.1","FOXO3","Mus musculus                                                                                                                                                   Homo sapiens","Fork head / winged helix factors","Forkhead box (FOX) factors",""
"","MA0158.1","HOXA5","Mus musculus                                                                                                                                                   Homo sapiens","Homeo domain factors","HOX-related factors",""
"","MA0162.1","Egr1","Mus musculus","C2H2 zinc finger factors","Three-zinc finger Kruppel-related factors",""
"","MA0259.1","ARNT::HIF1A","Mus musculus                                                                                                                                                   Rattus rattus                                                                                                                                                   Homo sapiens                                                                                                                                                   Oryctolagus cuniculus","Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)","PAS domain factors::PAS domain factors",""
"","MA0461.1","Atoh1","Mus musculus","Basic helix-loop-helix factors (bHLH)","Tal-related factors",""
"","MA0461.2","Atoh1","Mus musculus","Basic helix-loop-helix factors (bHLH)","Tal-related factors",""
"","MA0463.1","Bcl6","Mus musculus","C2H2 zinc finger factors","More than 3 adjacent zinc finger factors",""
"","MA0464.1","Bhlhe40","Mus musculus","Basic helix-loop-helix factors (bHLH)","Hairy-related factors",""
"","MA0467.1","Crx","Mus musculus","Homeo domain factors","Paired-related HD factors",""
"","MA0469.1","E2F3","Mus musculus","Fork head / winged helix factors","E2F-related factors",""
"","MA0472.1","EGR2","Mus musculus","C2H2 zinc finger factors","Three-zinc finger Krüppel-related factors",""
"","MA0474.1","Erg","Mus musculus","Tryptophan cluster factors","Ets-related factors",""
"","MA0480.1","Foxo1","Mus musculus","Fork head / winged helix factors","Forkhead box (FOX) factors",""
"","MA0482.1","Gata4","Mus musculus","Other C4 zinc finger-type factors","GATA-type zinc fingers",""
"","MA0483.1","Gfi1b","Mus musculus","C2H2 zinc finger factors","More than 3 adjacent zinc finger factors",""
"","MA0485.1","Hoxc9","Mus musculus","Homeo domain factors","HOX-related factors",""
"","MA0591.1","Bach1::Mafk","Mus musculus","Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)","Jun-related factors::Maf-related factors",""
"","MA0592.2","Esrra","Mus musculus","Nuclear receptors with C4 zinc fingers","Steroid hormone receptors (NR3)",""
"","MA0594.1","Hoxa9","Mus musculus","Homeo domain factors","HOX-related factors",""
"","MA0601.1","Arid3b","Mus musculus","ARID domain factors","ARID-related factors",""
"","MA0602.1","Arid5a","Mus musculus","ARID domain factors","ARID-related factors",""
"","MA0603.1","Arntl","Mus musculus","Basic helix-loop-helix factors (bHLH)","PAS domain factors",""
"","MA0604.1","Atf1","Mus musculus","Basic leucine zipper factors (bZIP)","CREB-related factors",""
"","MA0605.1","Atf3","Mus musculus","Basic leucine zipper factors (bZIP)","Fos-related factors",""
"","MA0607.1","Bhlha15","Mus musculus","Basic helix-loop-helix factors (bHLH)","Tal-related factors",""
"","MA0608.1","Creb3l2","Mus musculus","Basic leucine zipper factors (bZIP)","CREB-related factors",""
"","MA0609.1","Crem","Mus musculus","Basic leucine zipper factors (bZIP)","CREB-related factors",""
"","MA0611.1","Dux","Mus musculus","Homeo domain factors","Paired-related HD factors",""
"","MA0614.1","Foxj2","Mus musculus","Fork head / winged helix factors","Forkhead box (FOX) factors",""
"","MA0615.1","Gmeb1","Mus musculus","SAND domain factors","GMEB",""
"","MA0616.1","Hes2","Mus musculus","Basic helix-loop-helix factors (bHLH)","Hairy-related factors",""
"","MA0643.1","Esrrg","Mus musculus","Nuclear receptors with C4 zinc fingers","Steroid hormone receptors (NR3)",""
"","MA0739.1","Hic1","Mus musculus","C2H2 zinc finger factors","Factors with multiple dispersed zinc fingers",""
"","MA0816.1","Ascl2","Mus musculus","Basic helix-loop-helix factors (bHLH)","MyoD / ASC-related factors",""
"","MA0840.1","Creb5","Mus musculus","Basic leucine zipper factors (bZIP)","CREB-related factors",""
"","MA0851.1","Foxj3","Mus musculus","Fork head / winged helix factors","Forkhead box (FOX) factors",""
"","MA0852.1","Foxk1","Mus musculus","Fork head / winged helix factors","Forkhead box (FOX) factors",""
"","MA0853.1","Alx4","Mus musculus","Homeo domain factors","Paired-related HD factors",""
"","MA0854.1","Alx1","Mus musculus","Homeo domain factors","Paired-related HD factors",""
"","MA0874.1","Arx","Mus musculus","Homeo domain factors","Paired-related HD factors",""
"","MA0877.1","Barhl1","Mus musculus","Homeo domain factors","NK-related factors",""
"","MA0879.1","Dlx1","Mus musculus","Homeo domain factors","NK-related factors",""
"","MA0880.1","Dlx3","Mus musculus","Homeo domain factors","NK-related factors",""
"","MA0881.1","Dlx4","Mus musculus","Homeo domain factors","NK-related factors",""
